iter	Passed	Remaining
0	4	442
1	7	390
2	13	439
3	17	409
4	19	375
5	22	350
6	25	337
7	27	321
8	31	313
9	33	301
10	36	293
11	38	285
12	41	276
13	44	272
14	47	266
15	49	262
16	52	256
17	55	250
18	58	247
19	60	242
20	63	238
21	66	234
22	68	230
23	71	227
24	74	223
25	77	219
26	79	215
27	82	211
28	85	209
29	88	205
30	91	203
31	93	199
32	96	195
33	99	192
34	101	188
35	104	185
36	107	182
37	109	178
38	112	176
39	115	173
40	118	170
41	121	167
42	124	164
43	128	162
44	131	160
45	134	157
46	137	154
47	139	151
48	142	148
49	145	145
50	148	142
51	151	140
52	154	137
53	157	134
54	160	131
55	163	128
56	166	125
57	169	122
58	172	119
59	175	116
60	178	114
61	180	110
62	182	107
63	185	104
64	188	101
65	191	98
66	194	95
67	197	92
68	200	90
69	203	87
70	206	84
71	209	81
72	212	78
73	214	75
74	217	72
75	220	69
76	222	66
77	225	63
78	228	60
79	231	57
80	233	54
81	236	51
82	239	48
83	241	46
84	244	43
85	247	40
86	249	37
87	252	34
88	255	31
89	257	28
90	260	25
91	263	22
92	265	20
93	268	17
94	271	14
95	273	11
96	276	8
97	279	5
98	282	2
99	284	0
